ID;Status;TaxonName;SVPetLenMin_mm;SVPetLenMax_mm;SepLenMin_mm;SepLenMax_mm;FrLenMin_mm;FrLenMax_mm;SeedLenMin_mm;SeedLenMax_mm;SVPropLenMin_mm;SVPropLenMax_mm;LeafLenMin_mm;LeafLenMax_mm;LeafWidMin_mm;LeafWidMax_mm;StemLenMin_cm;StemLenMax_cm;ChromNo;MinAlt;MaxAlt;AltRange;StartFloPer;EndFloPer;FloPer;;;;;;;;;;
19;W;Scorzonera cana;13.00;30.00;8.00;20.00;7.00;10.00;;;7.00;10.00;30.00;200.00;;;5.00;60.00;;0;900;900;4;6;3;;;;;;;;;;
20;E;Anchusa samothracica;6.00;8.00;5.00;6.00;3.50;3.50;3.50;3.50;3.50;3.50;20.00;50.00;;;35.00;35.00;;0;5;5;5;7;3;;;;;;;;;;
20;W;Anchusa officinalis subsp intacta;6.00;9.00;6.00;8.00;2.00;2.00;;;2.00;2.00;;;;;30.00;80.00;;0;1300;1300;5;7;2.5;;;;;;;;;;
21;E;Alyssum densistellatum;5.00;6.00;3.00;4.00;5.00;5.50;2.00;2.00;2.00;2.00;5.00;10.00;3.00;5.00;2.00;3.00;;20;450;430;4;5;2;;;;;;;;;;
21;W;Alyssum montanum;4.00;7.00;2.00;3.00;3.50;6.00;2.00;2.50;2.00;2.50;5.00;20.00;;;10.00;50.00;16;800;1700;900;4;6;2;;;;;;;;;;
22;E;Alyssum lesbiacum;2.00;3.00;2.00;2.50;7.00;9.00;;;;;6.00;12.00;0.80;1.50;30.00;40.00;;200;800;600;4;5;1;;;;;;;;;;
22;W;Alyssum murale;2.00;3.50;1.50;2.00;2.50;5.00;2.00;3.00;2.00;3.00;5.00;15.00;1.00;5.00;10.00;60.00;16;200;1800;1600;5;6;2;;;;;;;;;;
23;E;Rorippa icarica;3.50;4.50;3.00;3.50;15.00;32.00;1.30;1.70;1.30;1.70;15.00;30.00;;;5.00;16.00;16;600;1000;400;4;6;2;;;;;;;;;;
23;W;Rorippa thracica;2.00;3.50;1.70;2.30;6.00;8.00;0.80;0.90;0.80;0.90;20.00;50.00;;;10.00;30.00;16;500;1700;1200;5;7;2;;;;;;;;;;
24;E;Erysimum senoreri subsp icaricum;16.00;18.00;6.30;9.00;30.00;85.00;3.50;5.50;3.50;5.50;50.00;100.00;2.50;16.00;20.00;50.00;12;150;800;650;3;5;3;;;;;;;;;;
24;W;Erysimum crassistylum;9.00;12.00;6.00;7.00;50.00;74.00;0.80;1.20;0.80;1.20;10.00;60.00;1.00;3.00;20.00;62.00;14;100;100;0;5;6;1.5;;;;;;;;;;
25;E;Iberis runemarki;15.00;15.00;6.00;6.00;8.00;10.00;;;;;10.00;30.00;2.00;5.00;7.00;15.00;14;600;750;150;5;6;2;;;;;;;;;;
25;W;Iberis carnosa;7.00;15.00;2.50;3.50;5.00;7.00;;;;;4.00;12.00;2.00;8.00;5.00;30.00;14;0;1100;1100;4;7;4;;;;;;;;;;
26;E;Malcolmia macrocalyx;6.00;12.00;10.00;18.00;50.00;80.00;2.30;3.30;2.30;3.30;;;;;;40.00;16;0;700;700;3;5;2.5;;;;;;;;;;
26;W;Malcolmia chia;5.00;10.00;2.50;4.50;25.00;70.00;1.30;1.60;1.30;1.60;5.00;40.00;3.00;15.00;8.00;40.00;32;0;700;700;3;5;2.5;;;;;;;;;;
27;E;Asyneuma giganteum;10.00;10.00;3.00;4.00;6.00;8.00;1.50;1.50;1.50;1.50;40.00;70.00;20.00;50.00;50.00;120.00;;400;1200;800;6;7;2;;;;;;;;;;
27;W;Asyneuma limonifolium;8.00;9.00;2.00;3.00;5.00;6.00;1.00;1.30;1.00;1.30;30.00;60.00;8.00;15.00;10.00;100.00;24;200;1800;1600;5;8;4;;;;;;;;;;
28;E;Arenaria runemarkii;1.88;2.25;2.50;3.00;2.50;3.00;0.50;0.60;0.50;0.60;2.00;7.00;;;4.00;20.00;20;250;700;450;4;6;3;;;;;;;;;;
28;W;Arenaria leptoclados;;;2.50;3.00;;;0.40;0.55;0.40;0.55;2.00;6.00;;;5.00;25.00;20;0;1600;1600;3;6;4;;;;;;;;;;
29;E;Cerastium decalvans subsp glutinosum;11.00;16.00;5.50;8.00;10.40;11.00;1.20;1.60;1.20;1.60;8.00;20.00;2.00;5.00;10.00;30.00;36;700;1100;400;5;7;2.5;;;;;;;;;;
29;W;Cerastium comatum;4.00;5.00;5.00;7.00;;;0.40;0.60;0.40;0.60;5.00;20.00;3.00;8.00;3.00;12.00;34;350;350;0;3;5;3;;;;;;;;;;
30;E;Minuartia attica subsp idaea;;;;;;;0.90;1.40;0.90;1.40;;;;;;;;520;1440;920;5;8;4;;;;;;;;;;
30;W;Minuartia mesogitana;1.50;3.20;2.00;4.00;2.20;4.00;0.40;0.70;0.40;0.70;15.00;15.00;1.10;1.50;2.00;17.00;;10;1300;1300;5;6;1.5;;;;;;;;;;
31;E;Dianthus fruticosus subsp karavius;;;;;;;;;;;20.00;30.00;3.00;4.00;8.00;9.00;30;40;50;10;6;9;4;;;;;;;;;;
31;W;Dianthus tripunctatus;6.00;8.00;5.00;7.00;;;;;;;;;1.00;3.00;20.00;50.00;30;70;70;0;5;6;2;;;;;;;;;;
32;E;Silene samothracica;2.00;2.00;;;7.00;10.00;1.20;1.30;1.20;1.30;;;;;5.00;25.00;;800;1300;500;5;6;2;;;;;;;;;;
32;W;Silene behen;2.00;2.50;11.00;14.00;7.00;10.00;1.20;1.50;1.20;1.50;;;8.00;20.00;10.00;90.00;24;0;500;500;3;5;2.5;;;;;;;;;;
33;E;Silene cythnia;8.00;11.00;;;15.00;24.00;1.50;1.80;1.50;1.80;;;;;20.00;40.00;24;0;900;900;4;5;2;;;;;;;;;;
33;W;Silene italica;6.00;10.00;;;8.00;12.00;0.80;1.30;0.80;1.30;20.00;40.00;;;40.00;80.00;;650;2400;1750;4;7;4;;;;;;;;;;
34;E;Silene aegea;2.00;3.00;7.00;9.00;5.00;6.00;0.70;0.80;0.70;0.80;;;;;;;48;0;50;50;4;5;2;;;;;;;;;;
34;W;Silene sedoides;2.00;3.00;5.00;7.00;3.00;6.00;0.60;0.60;0.60;0.60;10.00;30.00;;;5.00;15.00;24;0;250;250;3;6;4;;;;;;;;;;
35;E;Herniaria degenii;;;0.70;1.00;;1.00;0.60;0.70;0.60;0.70;8.00;8.00;3.00;3.00;;;;1500;1600;100;;;;;;;;;;;;;
35;W;Herniaria incana;1.50;2.00;1.00;1.20;1.80;2.00;0.80;0.90;0.80;0.90;6.00;12.00;1.50;3.00;10.00;25.00;18;0;1600;1600;5;8;2.5;;;;;;;;;;
36;E;Paronychia bornmuelleri;4.00;4.00;3.00;3.00;;;;;;;3.50;8.00;1.30;3.20;8.00;12.00;;;;;5;6;2;;;;;;;;;;
36;W;Paronychia macrosepala;3.00;4.50;3.00;4.50;;;;;;;3.00;5.00;1.50;2.00;7.00;12.00;18;0;800;800;4;6;3;;;;;;;;;;
37;E;Umbilicus albido-opacus;5.00;6.50;1.50;1.50;;;0.30;0.30;0.30;0.30;;;;25.00;8.00;25.00;;100;600;500;5;7;3;;;;;;;;;;
37;W;Umbilicus chloranthus;3.00;4.50;1.00;2.00;;;0.30;0.30;0.30;0.30;;;;;10.00;30.00;48;0;700;700;4;6;3;;;;;;;;;;
38;E;Lomelosia variifolia;35.0;50.0;;;;;5.0;7.0;;;;;;;10.0;25.0;;0;800;800;4;6;3;;;;;;;;;;
38;W;Lomelosia brachiata;10.0;20.0;7.0;12.0;;;4.0;6.0;;;;;;;10.0;40.0;;0;1100;1100;4;6;3;;;;;;;;;;
39;E;Astragalus austroaegeus;18.00;22.00;11.00;14.00;8.00;10.00;;;8.00;10.00;50.00;100.00;;;25.00;25.00;;0;650;650;3;5;2.5;;;;;;;;;;
39;W;Astragalus sinaicus;7.00;8.00;4.00;5.00;10.00;20.00;;;10.00;20.00;20.00;50.00;;;10.00;10.00;;0;400;400;3;4;1.5;;;;;;;;;;
40;E;Corydalis thassia;12.00;15.00;;;20.00;25.00;;;;;;;;;11.00;25.00;;500;1000;500;3;4;2;;;;;;;;;;
40;W;Corydalis solida subsp incisa;13.00;14.00;;;15.00;18.00;2.00;2.00;2.00;2.00;;;;;6.00;15.00;16;900;1700;800;3;6;3.5;;;;;;;;;;
